,order_id,attack_id,attack_type
0,286739,4,layering
1,286741,4,layering
2,286743,4,layering
3,286747,4,layering
4,286785,12,layering
5,286787,12,layering
6,286789,12,layering
7,286793,12,layering
8,286794,19,layering
9,286796,19,layering
10,286798,19,layering
11,286802,19,layering
12,286924,29,layering
13,286926,29,layering
14,286928,29,layering
15,286932,29,layering
16,286933,36,layering
17,286935,36,layering
18,286937,36,layering
19,286941,36,layering
20,287058,46,layering
21,287060,46,layering
22,287062,46,layering
23,287066,46,layering
24,287096,54,layering
25,287098,54,layering
26,287100,54,layering
27,287104,54,layering
