,order_id,attack_id,attack_type
0,340111,2,pump_n_dump
1,340114,2,pump_n_dump
2,340117,2,pump_n_dump
3,340118,3,pump_n_dump
4,340121,3,pump_n_dump
5,340124,3,pump_n_dump
6,340297,4,wash_trade
7,340298,4,wash_trade
8,340357,5,wash_trade
9,340358,5,wash_trade
10,340690,6,layering
11,340692,6,layering
12,340694,6,layering
13,340698,6,layering
14,340699,7,wash_trade
15,340700,7,wash_trade
16,340701,8,layering
17,340703,8,layering
18,340705,8,layering
19,340709,8,layering
20,340771,9,layering
21,340773,9,layering
22,340775,9,layering
23,340779,9,layering
24,340902,10,layering
25,340904,10,layering
26,340906,10,layering
27,340910,10,layering
28,340911,11,layering
29,340913,11,layering
30,340915,11,layering
31,340919,11,layering
32,340920,12,pump_n_dump
33,340923,12,pump_n_dump
34,340926,12,pump_n_dump
35,340927,13,pump_n_dump
36,340930,13,pump_n_dump
37,340933,13,pump_n_dump
38,340934,14,wash_trade
39,340935,14,wash_trade
40,341051,15,layering
41,341053,15,layering
42,341055,15,layering
43,341059,15,layering
44,341236,16,layering
45,341238,16,layering
46,341240,16,layering
47,341244,16,layering
48,341305,17,wash_trade
49,341306,17,wash_trade
50,341362,18,pump_n_dump
51,341365,18,pump_n_dump
52,341368,18,pump_n_dump
53,341369,19,layering
54,341371,19,layering
55,341373,19,layering
56,341377,19,layering
57,341439,20,layering
58,341441,20,layering
59,341443,20,layering
60,341447,20,layering
61,341496,21,wash_trade
62,341497,21,wash_trade
63,341498,22,wash_trade
64,341499,22,wash_trade
65,341561,23,pump_n_dump
66,341564,23,pump_n_dump
67,341567,23,pump_n_dump
68,341627,24,wash_trade
69,341628,24,wash_trade
70,341629,25,layering
71,341631,25,layering
72,341633,25,layering
73,341637,25,layering
74,341701,26,wash_trade
75,341702,26,wash_trade
76,341768,27,layering
77,341770,27,layering
78,341772,27,layering
79,341776,27,layering
80,341984,28,pump_n_dump
81,341987,28,pump_n_dump
82,341990,28,pump_n_dump
83,342106,29,layering
84,342108,29,layering
85,342110,29,layering
86,342114,29,layering
87,342172,30,pump_n_dump
88,342175,30,pump_n_dump
89,342178,30,pump_n_dump
90,342230,31,layering
91,342232,31,layering
92,342234,31,layering
93,342238,31,layering
94,342239,32,layering
95,342241,32,layering
96,342243,32,layering
97,342247,32,layering
98,342248,33,wash_trade
99,342249,33,wash_trade
100,342297,34,layering
101,342299,34,layering
102,342301,34,layering
103,342305,34,layering
104,342362,35,layering
105,342364,35,layering
106,342366,35,layering
107,342370,35,layering
108,342371,36,pump_n_dump
109,342374,36,pump_n_dump
110,342377,36,pump_n_dump
111,342438,37,pump_n_dump
112,342441,37,pump_n_dump
113,342444,37,pump_n_dump
114,342445,38,pump_n_dump
115,342448,38,pump_n_dump
116,342451,38,pump_n_dump
117,342452,39,pump_n_dump
118,342455,39,pump_n_dump
119,342458,39,pump_n_dump
120,342459,40,pump_n_dump
121,342462,40,pump_n_dump
122,342465,40,pump_n_dump
123,342466,41,wash_trade
124,342467,41,wash_trade
125,342468,42,wash_trade
126,342469,42,wash_trade
127,342470,43,pump_n_dump
128,342473,43,pump_n_dump
129,342476,43,pump_n_dump
130,342536,44,wash_trade
131,342537,44,wash_trade
132,342538,45,pump_n_dump
133,342541,45,pump_n_dump
134,342544,45,pump_n_dump
135,342601,46,wash_trade
136,342602,46,wash_trade
137,342666,47,wash_trade
138,342667,47,wash_trade
139,342721,48,wash_trade
140,342722,48,wash_trade
141,342723,49,layering
142,342725,49,layering
143,342727,49,layering
144,342731,49,layering
145,342782,50,wash_trade
146,342783,50,wash_trade
147,342784,51,pump_n_dump
148,342787,51,pump_n_dump
149,342790,51,pump_n_dump
150,342791,52,pump_n_dump
151,342794,52,pump_n_dump
152,342797,52,pump_n_dump
153,342798,53,pump_n_dump
154,342801,53,pump_n_dump
155,342804,53,pump_n_dump
156,342860,54,layering
157,342862,54,layering
158,342864,54,layering
159,342868,54,layering
160,342929,55,wash_trade
161,342930,55,wash_trade
162,342931,56,pump_n_dump
163,342934,56,pump_n_dump
164,342937,56,pump_n_dump
165,342938,57,wash_trade
166,342939,57,wash_trade
167,342940,58,wash_trade
168,342941,58,wash_trade
169,343002,59,wash_trade
170,343003,59,wash_trade
171,343004,60,wash_trade
172,343005,60,wash_trade
173,343006,61,pump_n_dump
174,343009,61,pump_n_dump
175,343012,61,pump_n_dump
176,343013,62,layering
177,343015,62,layering
178,343017,62,layering
179,343021,62,layering
180,343077,63,layering
181,343081,63,layering
182,343082,63,layering
183,343083,63,layering
184,343084,63,layering
185,343086,63,layering
186,343090,63,layering
187,343157,64,wash_trade
188,343158,64,wash_trade
189,343339,65,wash_trade
190,343340,65,wash_trade
191,343341,66,layering
192,343343,66,layering
193,343345,66,layering
194,343349,66,layering
195,343350,67,pump_n_dump
196,343353,67,pump_n_dump
197,343356,67,pump_n_dump
198,343357,68,pump_n_dump
199,343360,68,pump_n_dump
200,343363,68,pump_n_dump
201,343423,69,wash_trade
202,343424,69,wash_trade
203,343482,70,pump_n_dump
204,343485,70,pump_n_dump
205,343488,70,pump_n_dump
206,343722,71,layering
207,343724,71,layering
208,343726,71,layering
209,343730,71,layering
210,343796,72,wash_trade
211,343797,72,wash_trade
212,343798,73,layering
213,343800,73,layering
214,343802,73,layering
215,343806,73,layering
216,343807,74,layering
217,343809,74,layering
218,343811,74,layering
219,343815,74,layering
220,343873,75,layering
221,343875,75,layering
222,343877,75,layering
223,343881,75,layering
224,343938,76,layering
225,343940,76,layering
226,343942,76,layering
227,343946,76,layering
228,343947,77,pump_n_dump
229,343950,77,pump_n_dump
230,343953,77,pump_n_dump
231,343954,78,pump_n_dump
232,343957,78,pump_n_dump
233,343960,78,pump_n_dump
234,343961,79,pump_n_dump
235,343964,79,pump_n_dump
236,343967,79,pump_n_dump
237,344030,80,layering
238,344032,80,layering
239,344034,80,layering
240,344038,80,layering
241,344039,81,pump_n_dump
242,344042,81,pump_n_dump
243,344045,81,pump_n_dump
244,344095,82,layering
245,344099,82,layering
246,344100,82,layering
247,344101,82,layering
248,344102,82,layering
249,344104,82,layering
250,344108,82,layering
251,344224,83,wash_trade
252,344225,83,wash_trade
253,344280,84,pump_n_dump
254,344283,84,pump_n_dump
255,344286,84,pump_n_dump
256,344332,85,wash_trade
257,344333,85,wash_trade
258,344334,86,layering
259,344336,86,layering
260,344338,86,layering
261,344342,86,layering
262,344343,87,pump_n_dump
263,344346,87,pump_n_dump
264,344349,87,pump_n_dump
265,344350,88,pump_n_dump
266,344353,88,pump_n_dump
267,344356,88,pump_n_dump
268,344357,89,wash_trade
269,344358,89,wash_trade
270,344524,90,wash_trade
271,344525,90,wash_trade
272,344699,91,pump_n_dump
273,344702,91,pump_n_dump
274,344705,91,pump_n_dump
275,344773,92,layering
276,344775,92,layering
277,344777,92,layering
278,344781,92,layering
279,344782,93,pump_n_dump
280,344785,93,pump_n_dump
281,344788,93,pump_n_dump
282,344789,94,wash_trade
283,344790,94,wash_trade
284,344941,95,pump_n_dump
285,344944,95,pump_n_dump
286,344947,95,pump_n_dump
287,344948,96,layering
288,344950,96,layering
289,344952,96,layering
290,344956,96,layering
291,344957,97,pump_n_dump
292,344960,97,pump_n_dump
293,344963,97,pump_n_dump
294,345080,98,layering
295,345082,98,layering
296,345084,98,layering
297,345088,98,layering
298,345637,99,pump_n_dump
299,345640,99,pump_n_dump
300,345643,99,pump_n_dump
301,345709,100,layering
302,345711,100,layering
303,345713,100,layering
304,345717,100,layering
305,345935,101,pump_n_dump
306,345938,101,pump_n_dump
307,345941,101,pump_n_dump
308,346142,102,wash_trade
309,346143,102,wash_trade
310,346144,103,pump_n_dump
311,346147,103,pump_n_dump
312,346150,103,pump_n_dump
313,346213,104,pump_n_dump
314,346216,104,pump_n_dump
315,346219,104,pump_n_dump
316,346401,105,layering
317,346403,105,layering
318,346405,105,layering
319,346409,105,layering
320,346517,106,pump_n_dump
321,346520,106,pump_n_dump
322,346523,106,pump_n_dump
323,346524,107,layering
324,346526,107,layering
325,346528,107,layering
326,346532,107,layering
327,346533,108,pump_n_dump
328,346536,108,pump_n_dump
329,346539,108,pump_n_dump
330,346540,109,pump_n_dump
331,346543,109,pump_n_dump
332,346546,109,pump_n_dump
333,346547,110,layering
334,346549,110,layering
335,346551,110,layering
336,346555,110,layering
337,346717,111,pump_n_dump
338,346720,111,pump_n_dump
339,346723,111,pump_n_dump
340,346724,112,pump_n_dump
341,346727,112,pump_n_dump
342,346730,112,pump_n_dump
343,346979,113,layering
344,346981,113,layering
345,346983,113,layering
346,346987,113,layering
347,347047,114,layering
348,347049,114,layering
349,347051,114,layering
350,347055,114,layering
351,347056,115,layering
352,347058,115,layering
353,347060,115,layering
354,347064,115,layering
355,347121,116,wash_trade
356,347122,116,wash_trade
357,347123,117,wash_trade
358,347124,117,wash_trade
359,347181,118,wash_trade
360,347182,118,wash_trade
361,347183,119,wash_trade
362,347184,119,wash_trade
363,347222,120,pump_n_dump
364,347225,120,pump_n_dump
365,347228,120,pump_n_dump
366,347229,121,pump_n_dump
367,347232,121,pump_n_dump
368,347235,121,pump_n_dump
369,347236,122,wash_trade
370,347237,122,wash_trade
371,347397,123,wash_trade
372,347398,123,wash_trade
373,347452,124,pump_n_dump
374,347455,124,pump_n_dump
375,347458,124,pump_n_dump
376,347758,125,wash_trade
377,347759,125,wash_trade
378,347760,126,pump_n_dump
379,347763,126,pump_n_dump
380,347766,126,pump_n_dump
381,347767,127,layering
382,347769,127,layering
383,347771,127,layering
384,347775,127,layering
385,347833,128,layering
386,347835,128,layering
387,347837,128,layering
388,347841,128,layering
389,347842,129,wash_trade
390,347843,129,wash_trade
391,347844,130,pump_n_dump
392,347847,130,pump_n_dump
393,347850,130,pump_n_dump
394,347972,131,layering
395,347974,131,layering
396,347976,131,layering
397,347980,131,layering
398,347981,132,layering
399,347983,132,layering
400,347985,132,layering
401,347989,132,layering
402,347990,133,layering
403,347992,133,layering
404,347994,133,layering
405,347998,133,layering
406,347999,134,pump_n_dump
407,348002,134,pump_n_dump
408,348005,134,pump_n_dump
409,348006,135,pump_n_dump
410,348009,135,pump_n_dump
411,348012,135,pump_n_dump
412,348075,136,wash_trade
413,348076,136,wash_trade
414,348143,137,pump_n_dump
415,348146,137,pump_n_dump
416,348149,137,pump_n_dump
417,348197,138,wash_trade
418,348198,138,wash_trade
419,348302,139,pump_n_dump
420,348305,139,pump_n_dump
421,348308,139,pump_n_dump
422,348377,140,layering
423,348379,140,layering
424,348381,140,layering
425,348385,140,layering
426,348445,141,layering
427,348447,141,layering
428,348449,141,layering
429,348453,141,layering
430,348454,142,wash_trade
431,348455,142,wash_trade
432,348517,143,wash_trade
433,348518,143,wash_trade
434,348632,144,pump_n_dump
435,348635,144,pump_n_dump
436,348638,144,pump_n_dump
437,348639,145,pump_n_dump
438,348642,145,pump_n_dump
439,348645,145,pump_n_dump
440,348699,146,layering
441,348701,146,layering
442,348703,146,layering
443,348707,146,layering
444,348874,147,wash_trade
445,348875,147,wash_trade
446,348987,148,wash_trade
447,348988,148,wash_trade
448,349089,149,layering
449,349091,149,layering
450,349093,149,layering
451,349097,149,layering
452,349098,150,layering
453,349100,150,layering
454,349102,150,layering
455,349106,150,layering
456,349169,151,pump_n_dump
457,349172,151,pump_n_dump
458,349175,151,pump_n_dump
459,349293,152,wash_trade
460,349294,152,wash_trade
461,349417,153,wash_trade
462,349418,153,wash_trade
463,349419,154,layering
464,349421,154,layering
465,349423,154,layering
466,349427,154,layering
467,349428,155,layering
468,349430,155,layering
469,349432,155,layering
470,349436,155,layering
471,349501,156,pump_n_dump
472,349504,156,pump_n_dump
473,349507,156,pump_n_dump
474,349733,157,wash_trade
475,349734,157,wash_trade
476,349735,158,wash_trade
477,349736,158,wash_trade
478,349737,159,pump_n_dump
479,349740,159,pump_n_dump
480,349743,159,pump_n_dump
481,349860,160,layering
482,349862,160,layering
483,349864,160,layering
484,349868,160,layering
485,349924,161,pump_n_dump
486,349927,161,pump_n_dump
487,349930,161,pump_n_dump
488,350081,162,pump_n_dump
489,350084,162,pump_n_dump
490,350087,162,pump_n_dump
491,350340,163,wash_trade
492,350341,163,wash_trade
493,350342,164,wash_trade
494,350343,164,wash_trade
495,350407,165,layering
496,350409,165,layering
497,350411,165,layering
498,350415,165,layering
499,350416,166,pump_n_dump
500,350419,166,pump_n_dump
501,350422,166,pump_n_dump
502,350423,167,layering
503,350425,167,layering
504,350427,167,layering
505,350431,167,layering
506,350564,168,wash_trade
507,350565,168,wash_trade
508,350626,169,layering
509,350628,169,layering
510,350630,169,layering
511,350634,169,layering
512,350898,170,wash_trade
513,350899,170,wash_trade
514,350900,171,wash_trade
515,350901,171,wash_trade
516,350962,172,pump_n_dump
517,350965,172,pump_n_dump
518,350968,172,pump_n_dump
519,351051,173,pump_n_dump
520,351054,173,pump_n_dump
521,351057,173,pump_n_dump
522,351110,174,pump_n_dump
523,351113,174,pump_n_dump
524,351116,174,pump_n_dump
