trader,timestamp,a1_sum_buy,a1_mean_buy,a1_median_buy,a1_min_buy,a1_max_buy,a1_vol_sum_buy,a1_vol_mean_buy,a1_vol_median_buy,a1_vol_min_buy,a1_vol_max_buy, a1_sum_sell,a1_mean_sell,a1_median_sell,a1_min_sell,a1_max_sell,a1_vol_sum_sell,a1_vol_mean_sell,a1_vol_median_sell,a1_vol_min_sell,a1_vol_max_sell,diff_a1_sum_buy,diff_a1_mean_buy,diff_a1_median_buy,diff_a1_min_buy,diff_a1_max_buy,diff_a1_vol_sum_buy,diff_a1_vol_mean_buy,diff_a1_vol_median_buy,diff_a1_vol_min_buy,diff_a1_vol_max_buy, diff_a1_sum_sell,diff_a1_mean_sell,diff_a1_median_sell,diff_a1_min_sell,diff_a1_max_sell,diff_a1_vol_sum_sell,diff_a1_vol_mean_sell,diff_a1_vol_median_sell,diff_a1_vol_min_sell,diff_a1_vol_max_sell,severity,labels
T_1,2019-04-01 10:44,144.108,28.8216,28.6916,28.1916,29.5916,159.0,31.8,31.0,27.0,38.0,239.808,29.976,29.991600000000002,29.0,31.1916,181.0,22.625,29.5,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4900013331200346,1
T_2,2019-04-01 10:44,231.8328,28.979100000000003,28.9416,28.4416,29.5916,8.0,1.0,1.0,1.0,1.0,121.6164,30.4041,30.4416,29.791600000000003,30.9416,4.0,1.0,1.0,1.0,1.0,87.72479999999999,0.15750000000000242,0.25,0.25,0.0,-151.0,-30.8,-30.0,-26.0,-37.0,-118.1916,0.4281000000000006,0.4499999999999993,0.7916000000000025,-0.25,-177.0,-21.625,-28.5,-4.0,-38.0,0.4900013331200346,1
T_3,2019-04-01 10:44,29.0,29.0,29.0,29.0,29.0,7.0,7.0,7.0,7.0,7.0,116.0,29.0,29.0,29.0,29.0,17.0,4.25,4.0,4.0,5.0,-202.8328,0.020899999999997476,0.0583999999999989,0.5583999999999989,-0.5915999999999997,-1.0,6.0,6.0,6.0,6.0,-5.616399999999999,-1.4040999999999997,-1.441600000000001,-0.7916000000000025,-1.941600000000001,13.0,3.25,3.0,3.0,4.0,0.4900013331200346,1
T_1,2019-04-01 10:45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,29.0,29.0,29.0,29.0,9.0,3.0,3.0,3.0,3.0,-29.0,-29.0,-29.0,-29.0,-29.0,-7.0,-7.0,-7.0,-7.0,-7.0,-29.0,0.0,0.0,0.0,0.0,-8.0,-1.25,-1.0,-1.0,-2.0,0.47252769565540637,1
T_2,2019-04-01 10:45,144.5164,28.903280000000002,29.0,28.4416,29.1916,5.0,1.0,1.0,1.0,1.0,364.8492,30.4041,30.4416,29.791600000000003,30.9416,12.0,1.0,1.0,1.0,1.0,144.5164,28.903280000000002,29.0,28.4416,29.1916,5.0,1.0,1.0,1.0,1.0,277.8492,1.4040999999999997,1.441600000000001,0.7916000000000025,1.941600000000001,3.0,-2.0,-2.0,-2.0,-2.0,0.4900013331200346,1
T_1,2019-04-01 10:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,29.0,29.0,29.0,29.0,6.0,2.0,2.0,2.0,2.0,-144.5164,-28.903280000000002,-29.0,-28.4416,-29.1916,-5.0,-1.0,-1.0,-1.0,-1.0,-277.8492,-1.4040999999999997,-1.441600000000001,-0.7916000000000025,-1.941600000000001,-6.0,1.0,1.0,1.0,1.0,0.4900013331200346,1
T_2,2019-04-01 10:46,547.4323999999999,28.81223157894737,28.6916,28.4416,29.1916,19.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547.4323999999999,28.81223157894737,28.6916,28.4416,29.1916,19.0,1.0,1.0,1.0,1.0,-87.0,-29.0,-29.0,-29.0,-29.0,-6.0,-2.0,-2.0,-2.0,-2.0,0.4900013331200346,1
T_3,2019-04-01 10:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,29.0,29.0,29.0,29.0,16.0,2.6666666666666665,3.0,2.0,3.0,-547.4323999999999,-28.81223157894737,-28.6916,-28.4416,-29.1916,-19.0,-1.0,-1.0,-1.0,-1.0,174.0,29.0,29.0,29.0,29.0,16.0,2.6666666666666665,3.0,2.0,3.0,0.4900013331200346,1
T_4,2019-04-01 10:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,29.0,29.0,29.0,29.0,16.0,2.6666666666666665,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51499550161941,-1
T_1,2019-04-01 10:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.583200000000005,29.791600000000003,29.791600000000003,29.791600000000003,29.791600000000003,62.0,31.0,31.0,29.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114.4168,0.7916000000000025,0.7916000000000025,0.7916000000000025,0.7916000000000025,46.0,28.333333333333332,28.0,27.0,30.0,0.4900013331200346,1
