,order_id,attack_id,attack_type
0,1672677,3,layering
1,1672681,3,layering
2,1672682,3,layering
3,1672683,3,layering
4,1672684,3,layering
5,1672686,3,layering
6,1672690,3,layering
7,1673551,4,wash_trade
8,1673552,4,wash_trade
9,1673553,5,wash_trade
10,1673554,5,wash_trade
11,1675280,6,wash_trade
12,1675281,6,wash_trade
13,1675282,7,pump_n_dump
14,1675285,7,pump_n_dump
15,1675288,7,pump_n_dump
16,1675289,8,layering
17,1675293,8,layering
18,1675294,8,layering
19,1675295,8,layering
20,1675296,8,layering
21,1675298,8,layering
22,1675302,8,layering
23,1676170,9,wash_trade
24,1676171,9,wash_trade
25,1676172,10,wash_trade
26,1676173,10,wash_trade
27,1677033,11,wash_trade
28,1677034,11,wash_trade
29,1677035,12,wash_trade
30,1677036,12,wash_trade
31,1677037,13,layering
32,1677041,13,layering
33,1677042,13,layering
34,1677043,13,layering
35,1677044,13,layering
36,1677046,13,layering
37,1677050,13,layering
38,1677051,14,wash_trade
39,1677052,14,wash_trade
40,1677053,15,wash_trade
41,1677054,15,wash_trade
42,1677055,16,wash_trade
43,1677056,16,wash_trade
44,1677057,17,wash_trade
45,1677058,17,wash_trade
46,1677059,18,wash_trade
47,1677060,18,wash_trade
48,1677061,19,layering
49,1677065,19,layering
50,1677066,19,layering
51,1677067,19,layering
52,1677068,19,layering
53,1677070,19,layering
54,1677074,19,layering
55,1677075,20,pump_n_dump
56,1677078,20,pump_n_dump
57,1677081,20,pump_n_dump
58,1678800,21,layering
59,1678804,21,layering
60,1678805,21,layering
61,1678806,21,layering
62,1678807,21,layering
63,1678809,21,layering
64,1678813,21,layering
65,1678814,22,pump_n_dump
66,1678817,22,pump_n_dump
67,1678820,22,pump_n_dump
68,1684055,23,layering
69,1684059,23,layering
70,1684060,23,layering
71,1684061,23,layering
72,1684062,23,layering
73,1684064,23,layering
74,1684068,23,layering
75,1686615,24,pump_n_dump
76,1686618,24,pump_n_dump
77,1686621,24,pump_n_dump
78,1690050,25,layering
79,1690054,25,layering
80,1690055,25,layering
81,1690056,25,layering
82,1690057,25,layering
83,1690059,25,layering
84,1690063,25,layering
85,1690064,26,layering
86,1690068,26,layering
87,1690069,26,layering
88,1690070,26,layering
89,1690071,26,layering
90,1690073,26,layering
91,1690077,26,layering
92,1690078,27,layering
93,1690082,27,layering
94,1690083,27,layering
95,1690084,27,layering
96,1690085,27,layering
97,1690087,27,layering
98,1690091,27,layering
99,1691835,28,layering
100,1691839,28,layering
101,1691840,28,layering
102,1691841,28,layering
103,1691842,28,layering
104,1691844,28,layering
105,1691848,28,layering
106,1691849,29,pump_n_dump
107,1691852,29,pump_n_dump
108,1691855,29,pump_n_dump
109,1692747,30,layering
110,1692751,30,layering
111,1692752,30,layering
112,1692753,30,layering
113,1692754,30,layering
114,1692756,30,layering
115,1692760,30,layering
116,1692761,31,layering
117,1692765,31,layering
118,1692766,31,layering
119,1692767,31,layering
120,1692768,31,layering
121,1692770,31,layering
122,1692774,31,layering
123,1692775,32,layering
124,1692779,32,layering
125,1692780,32,layering
126,1692781,32,layering
127,1692782,32,layering
128,1692784,32,layering
129,1692788,32,layering
130,1693606,33,layering
131,1693610,33,layering
132,1693611,33,layering
133,1693612,33,layering
134,1693613,33,layering
135,1693615,33,layering
136,1693619,33,layering
137,1695373,34,wash_trade
138,1695374,34,wash_trade
139,1697101,35,wash_trade
140,1697102,35,wash_trade
141,1697103,36,layering
142,1697107,36,layering
143,1697108,36,layering
