Random Cluster Center
[(3.3602435736996283, 'T_1', 0.0)]
[(3.67312686914911, 'T_1', 0.0)]
[(3.67312686914911, 'T_1', 2.929514693219957), (1.7350410250058428, 'T_2', 6.201858617837065)]
[(3.67312686914911, 'T_1', 3.3544051176528558), (3.31399394259082, 'T_2', 3.148011155459534), (1.4889045532588498, 'T_3', 6.859833624709518)]
[(3.67312686914911, 'T_1', 2.534723529205825), (3.31399394259082, 'T_2', 3.8857753816493372), (1.4889045532588498, 'T_3', 3.670421196421374)]
[(3.67312686914911, 'T_1', 2.510853139534305), (3.31399394259082, 'T_2', 1.0998043336498942), (1.4889045532588498, 'T_3', 5.308906835316742)]
[(3.9110617747467895, 'T_2', 2.7807367924564597), (3.67312686914911, 'T_1', 3.2150182462522903), (1.4889045532588498, 'T_3', 5.647887974180623)]
[(4.292883844717611, 'T_2', 1.7642420342227758), (3.67312686914911, 'T_1', 3.5098165352546067), (1.4889045532588498, 'T_3', 4.368263250575213)]
[(4.537394686301053, 'T_2', 3.1057342015322438), (3.67312686914911, 'T_1', 3.665245422014953), (1.4889045532588498, 'T_3', 5.891093411248229)]
[(4.537394686301053, 'T_2', 3.252146863358201), (3.67312686914911, 'T_1', 2.667597961635134), (2.0131299568208334, 'T_3', 4.851975336439337)]
[(4.537394686301053, 'T_2', 3.231292600621859), (3.67312686914911, 'T_1', 3.7390974030078508), (2.0131299568208334, 'T_3', 5.556064284351203)]
[(4.528354821143206, 'T_2', 3.2341522736475503), (3.67312686914911, 'T_1', 3.7371205324153354), (2.0131299568208334, 'T_3', 5.554744444803003)]
[(4.528354821143206, 'T_2', 3.2341522736475503), (3.67312686914911, 'T_1', 3.7371205324153354), (2.0131299568208334, 'T_3', 5.554744444803003)]
[(4.528354821143206, 'T_2', 3.3991060641488917), (3.67312686914911, 'T_1', 2.643191017376341), (2.4325102796704203, 'T_3', 4.639632541028256)]
[(4.617717055264508, 'T_2', 4.09625892080337), (3.67312686914911, 'T_1', 3.850645698370604), (2.4325102796704203, 'T_3', 4.635595960193391), (0.995033198349943, 'T_9', 2.84788652419569), (0.5597136492671929, 'T_4', 8.76501537384286)]
[(4.617717055264508, 'T_2', 4.503944640346276), (3.67312686914911, 'T_1', 2.8182287520806057), (2.7250343315161487, 'T_3', 1.63184131601901), (2.170307181025274, 'T_4', 2.4389125804268277), (1.919180649763844, 'T_9', 2.4389125804268277)]
[(4.290456343508395, 'T_2', 2.747546351189542), (3.9345903257930965, 'T_1', 5.517473189044298), (2.7250343315161487, 'T_3', 3.13345785449183), (2.595718683512139, 'T_4', 0.9866363022861447), (1.919180649763844, 'T_9', 0.9866363022861447)]
[(4.290456343508395, 'T_2', 1.8790809803675521), (3.9345903257930965, 'T_1', 2.972865959747985), (2.7250343315161487, 'T_3', 1.8790809803675521), (2.595718683512139, 'T_4', 4.19409791839366), (1.919180649763844, 'T_9', 4.19409791839366)]
[(4.290456343508395, 'T_2', 2.33415245756855), (3.9345903257930965, 'T_1', 3.6192709541157235), (2.7250343315161487, 'T_3', 2.777366805819712), (2.595718683512139, 'T_4', 3.471587950100737), (1.919180649763844, 'T_9', 3.471587950100737)]
[(4.4233517761538685, 'T_2', 3.6815318039079012), (3.9345903257930965, 'T_1', 3.2527409717226137), (2.7250343315161487, 'T_3', 2.2864764827231454), (2.595718683512139, 'T_4', 4.360707986932305), (1.919180649763844, 'T_9', 4.360707986932305)]
[(4.063660608402035, 'T_2', 2.3885545578994956), (3.9345903257930965, 'T_1', 3.4776775247634877), (2.7250343315161487, 'T_3', 2.836574889525675), (2.595718683512139, 'T_4', 3.550565316847815), (1.919180649763844, 'T_9', 3.550565316847815)]
[(4.063660608402035, 'T_2', 1.9825731860536553), (3.9345903257930965, 'T_1', 4.431707283997005), (2.7250343315161487, 'T_3', 3.85991546456628), (2.595718683512139, 'T_4', 3.0166257012843993), (1.919180649763844, 'T_9', 3.0166257012843993)]
[(4.063660608402035, 'T_2', 1.2946458037652042), (3.9345903257930965, 'T_1', 1.2946458037652042), (3.073206737018465, 'T_4', 3.9692505446533626), (2.7250343315161487, 'T_3', 2.646238194525473), (1.919180649763844, 'T_9', 5.823082245943486)]
[(4.063660608402035, 'T_2', 1.1261437531389085), (3.9345903257930965, 'T_1', 1.106001411052619), (3.0506150579987676, 'T_4', 1.6037336774568165), (2.7250343315161487, 'T_3', 2.36663320364051), (1.919180649763844, 'T_9', 5.698022402240854)]
[(4.2459120182931045, 'T_2', 4.6632008257113915), (3.9345903257930965, 'T_1', 2.6392928661031774), (3.1812669455811684, 'T_4', 2.2902091514324967), (2.7250343315161487, 'T_3', 4.634139510117937), (1.919180649763844, 'T_9', 4.205169397135197)]
[(4.2459120182931045, 'T_2', 4.129179127347227), (3.9345903257930965, 'T_1', 2.9341717118373385), (2.9912812021363226, 'T_4', 3.1139897518261455), (2.7250343315161487, 'T_3', 2.942968061914196), (1.919180649763844, 'T_9', 4.4582447006302415)]
[(4.2459120182931045, 'T_2', 3.7650474748876133), (4.147030080933892, 'T_1', 10.118608998309448), (3.640742248609393, 'T_4', 5.017781122811935), (2.848215237381085, 'T_3', 8.164240666954264), (1.919180649763844, 'T_9', 5.069058157467458)]
[(4.2459120182931045, 'T_2', 2.8933945176707305), (3.8426032522260534, 'T_1', 2.436995414412784), (3.8231549405258303, 'T_4', 1.6080072806985024), (2.848215237381085, 'T_3', 9.470487620795511), (1.919180649763844, 'T_9', 1.4782004835433507), (1.5753188176381425, 'T_6', 1.7538022335673675)]
[(4.269979034512343, 'T_2', 2.1327717825225556), (3.954968814963577, 'T_4', 1.3930158171796503), (3.8426032522260534, 'T_1', 1.3303836731674232), (2.848215237381085, 'T_3', 1.1508069379456456), (1.9932752033493717, 'T_6', 1.3950785169974764), (1.919180649763844, 'T_9', 1.141532187231016)]
[(4.269979034512343, 'T_2', 4.066425572960286), (4.069971726658512, 'T_1', 3.587580830838778), (3.8365370717783396, 'T_4', 5.253942678256491), (2.848215237381085, 'T_3', 2.706981184776485), (1.9932752033493717, 'T_6', 1.2489570003418344), (1.919180649763844, 'T_9', 1.395674191537184)]
[(4.357591762456648, 'T_2', 3.8204263066095834), (4.069971726658512, 'T_1', 3.184191483365169), (3.8365370717783396, 'T_4', 2.225631902162702), (3.2780515858307573, 'T_3', 4.228412140273635), (1.9932752033493717, 'T_6', 4.823206318876081), (1.919180649763844, 'T_9', 5.001323452544902)]
[(4.578778263320097, 'T_2', 3.740403202219812), (4.069971726658512, 'T_1', 3.5791926807462366), (3.8365370717783396, 'T_4', 2.7398783556514092), (3.2780515858307573, 'T_3', 4.581873064456212), (1.9932752033493717, 'T_6', 3.956768362647819), (1.919180649763844, 'T_9', 4.1693017005997755)]
[(4.578778263320097, 'T_2', 2.1250005189278314), (4.069971726658512, 'T_1', 3.6760632684435577), (3.8365370717783396, 'T_4', 3.0981192769739745), (3.2780515858307573, 'T_3', 1.7715061969198567), (1.9932752033493717, 'T_6', 3.533842015280447), (1.919180649763844, 'T_9', 3.762348295226997)]
[(4.578778263320097, 'T_2', 2.8915146220844874), (4.069971726658512, 'T_1', 2.830655312946926), (3.8365370717783396, 'T_4', 2.6803240759343887), (3.2780515858307573, 'T_3', 2.8061590497745597), (1.9932752033493717, 'T_6', 4.103575744646915), (1.919180649763844, 'T_9', 4.309395671230357)]
[(4.578778263320097, 'T_2', 5.593739150657957), (4.403616783922382, 'T_1', 12.37276224061354), (4.068202569371961, 'T_4', 9.369818854727468), (3.2780515858307573, 'T_3', 6.311199459501596), (2.5350615818711653, 'T_9', 24.75674006858902), (1.9932752033493717, 'T_6', 5.767138015996126)]
[(4.537374754140732, 'T_2', 8.807274547232497), (4.486977581255144, 'T_1', 9.841301600011148), (4.254279117557659, 'T_4', 23.682139074910797), (3.1872824677734326, 'T_3', 11.141315651418696), (2.5350615818711653, 'T_9', 27.870267612022563), (1.9932752033493717, 'T_6', 6.259943004281507)]
[(4.629616865372676, 'T_2', 16.797118505397535), (4.581814494926101, 'T_1', 8.77570625743623), (3.7255007527689203, 'T_4', 7.380536491040188), (3.1872824677734326, 'T_3', 3.878382367868477), (2.5350615818711653, 'T_9', 3.878382367868477), (1.9932752033493717, 'T_6', 3.4447622272613243)]
[(4.629616865372676, 'T_2', 2.666349498625066), (4.581814494926101, 'T_1', 5.578749259514191), (3.7640475685969754, 'T_4', 1.575102777181244), (3.1872824677734326, 'T_3', 4.63050898461678), (2.6628884057873994, 'T_6', 1.7460244788528683), (2.5350615818711653, 'T_9', 4.63050898461678)]
[(4.646927770977581, 'T_1', 5.212948423518005), (4.629616865372676, 'T_2', 3.6371250265639965), (3.8756672149134315, 'T_4', 1.4563150513636733), (3.1872824677734326, 'T_3', 2.925812693360314), (2.884299441078868, 'T_6', 1.5761208062214438), (2.5350615818711653, 'T_9', 4.354520262510621)]
[(4.646927770977581, 'T_1', 2.964539314361054), (4.6285333828160145, 'T_2', 5.092879806000021), (3.8756672149134315, 'T_4', 2.817449138223532), (3.1872824677734326, 'T_3', 4.631976296504669), (2.884299441078868, 'T_6', 3.031915494688465), (2.5350615818711653, 'T_9', 2.964539314361054)]
[(4.674356118562715, 'T_2', 2.591068684363475), (4.646927770977581, 'T_1', 3.420693623625524), (3.8756672149134315, 'T_4', 1.928370979647125), (3.1872824677734326, 'T_3', 4.046079282600301), (2.884299441078868, 'T_6', 2.224917962438256), (2.5350615818711653, 'T_9', 3.420693623625524)]
[(4.674356118562715, 'T_2', 2.4763290475547803), (4.646927770977581, 'T_1', 3.617751639158334), (3.8756672149134315, 'T_4', 2.999969583790677), (3.1315853510605827, 'T_3', 2.560857448605733), (2.884299441078868, 'T_6', 3.317937613746437), (2.5350615818711653, 'T_9', 2.560857448605733)]
[(4.674356118562715, 'T_2', 2.164448005776089), (4.5918943602667195, 'T_1', 5.365546152065241), (4.099105698642323, 'T_4', 2.164448005776089), (3.1315853510605827, 'T_3', 2.164448005776089), (3.017062322866339, 'T_9', 6.730619228610653), (2.884299441078868, 'T_6', 4.218531229748152)]
[(4.674356118562715, 'T_2', 1.720520196754515), (4.5918943602667195, 'T_1', 1.720520196754515), (4.099105698642323, 'T_4', 1.720520196754515), (3.1315853510605827, 'T_3', 1.720520196754515), (3.017062322866339, 'T_9', 6.601256681744435), (2.884299441078868, 'T_6', 4.014285977342543)]
[(4.5918943602667195, 'T_1', 2.392751919753831), (4.528549707691418, 'T_2', 2.9372673583051148), (4.099105698642323, 'T_4', 2.392751919753831), (3.1315853510605827, 'T_3', 2.392751919753831), (3.017062322866339, 'T_9', 6.264698738366375), (2.884299441078868, 'T_6', 3.39203189306554)]
[(4.593972533013731, 'T_2', 5.656926645606237), (4.5918943602667195, 'T_1', 2.9555252490803836), (4.099105698642323, 'T_4', 2.9555252490803836), (3.1315853510605827, 'T_3', 2.9555252490803836), (3.017062322866339, 'T_9', 5.915812783237993), (2.884299441078868, 'T_6', 3.65565780808579)]
